0 30 0.0000 
30 70 0.0000 
70 110 0.0000 
110 160 0.0000 
160 210 0.0000 
210 260 0.0000 
260 310 0.0000 
310 370 0.0000 
370 440 0.0000 
440 510 0.0000 
510 590 0.0000 
590 670 0.0000 
670 760 0.0000 
760 850 1.0866 
850 950 1.0766 
950 1060 1.0680 
1060 1180 1.0607 
1180 1310 1.0545 
1310 1450 1.0493 
1450 1600 1.0448 
1600 1760 1.0410 
1760 1940 1.0376 
1940 2120 1.0348 
2120 2330 1.0323 
2330 2550 1.0301 
2550 2780 1.0282 
2780 3040 1.0265 
3040 3310 1.0250 
3310 3610 1.0237 
3610 4640 1.0215 
