; Data taken from arxiv1407.0371 
; systematics
;
syst_Wjets_bbcc+ -0.37 +0.42 +0.93 +1.28  
syst_Wjets_bbcc- +0.35 -0.39 -0.87 -1.20
syst_Wjets_bbccc+ +0.15 -0.24 +0.14 +0.61
syst_Wjets_bbccc- -0.27 +0.40 -0.06 -0.56
syst_Wjets_c4+ +0.18 -0.29 +0.19 +0.54
syst_Wjets_c4- -0.41 +0.50 +0.77 +0.89
syst_Wjets_c5+ +0.18 -0.29 +0.19 +0.54
syst_Wjets_c5- +0.23 -0.19 -1.06 -1.60
syst_Wjets_charge_asymmetry+ +0.02 -0.12 +0.70 +1.40
syst_Wjets_charge_asymmetry- +0.01 +0.10 -0.92 -1.81
syst_Multijet_normalization+ -0.76 +1.03 +0.51 +0.36
syst_Multijet_normalization- +0.76 -1.05 -0.51 -0.35
syst_Multijet_shape+ -0.03 +0.02 +0.24 +0.51
syst_Multijet_shape- +0.08 -0.08 -0.27 -0.43
syst_Zjets_background_normalization+   -0.22 +0.26 +0.47 +0.67
syst_Zjets_background_normalization-   +0.23 -0.27 -0.47 -0.68
syst_Dilepton_background_normalization+ -0.22 +0.26 +0.49 +0.64
syst_Dilepton_background_normalization- +0.21 -0.25 -0.46 -0.60
;
; xm xlow xhigh sigma  stat syst+ syst-
 20   0   40 14.1   1.5 6.2 6.2
105  40  170  3.0   1.8 7.4 7.4
255 170  340  0.25  4.5 16 16
670 340 1000  0.008 7.7 16 16

