260 280 0.0000 
280 300 0.0000 
300 340 0.0000 
340 380 0.0000 
380 420 0.0000 
420 460 0.9381 
460 500 0.9546 
500 540 0.9642 
540 600 0.9708 
600 660 0.9748 
660 720 0.9767 
720 780 0.9777 
780 860 0.9783 
860 940 0.9786 
940 1020 0.9787 
1020 1120 0.9788 
1120 1220 0.9788 
1220 1340 0.9788 
1340 1460 0.9788 
1460 1600 0.9788 
1600 1740 0.9788 
1740 1900 0.9788 
1900 2080 0.9788 
2080 2260 0.9788 
2260 2480 0.9788 
2480 2720 0.9788 
2720 2980 0.9788 
2980 3260 0.9788 
3260 3580 0.9788 
3580 4200 0.9788 
