hadronisation corrections 
  mean  xmin  xmax  npc  npc_up npc_down 
 108.0 100.0 116.0 0.97 1.057 0.970
 125.0 116.0 134.0 0.97 1.057 0.970
 143.0 134.0 152.0 0.97 1.048 0.970
 162.0 152.0 172.0 0.97 1.038 0.970
 183.0 172.0 194.0 0.97 1.038 0.970
 205.0 194.0 216.0 0.97 1.028 0.970
 228.0 216.0 240.0 0.97 1.028 0.970
 252.0 240.0 264.0 0.98 1.029 0.980
 277.0 264.0 290.0 0.98 1.029 0.980
 304.0 290.0 318.0 0.98 1.029 0.980
 332.0 318.0 346.0 0.98 1.019 0.980
 361.0 346.0 376.0 0.98 1.019 0.980
 392.0 376.0 408.0 0.98 1.019 0.980
 425.0 408.0 442.0 0.98 1.019 0.980
 460.0 442.0 478.0 0.98 1.009 0.980
 497.0 478.0 516.0 0.98 1.009 0.980
 536.0 516.0 556.0 0.98 1.009 0.980
 577.0 556.0 598.0 0.98 1.009 0.980
 620.0 598.0 642.0 0.98 1.009 0.980
 665.0 642.0 688.0 0.98 1.009 0.980
 712.0 688.0 736.0 0.98 1.009 0.980
 761.0 736.0 786.0 0.98 1.009 0.980
 812.0 786.0 838.0 0.98 1.009 0.980
 866.0 838.0 894.0 0.99 1.020 0.990
 953.0 894.0 1012.0 0.99 1.020 0.990
 1502.0 1012.0 1992.0 0.99 1.010 0.990
