Path: /HepData/8579/d4-x1-y1
Inclusive jet PT distribution for the |y| range  1.2-2.1 and R=0.4
Location: T 8,F 9
ABS(YRAP) : 1.2 - 2.1
R : 0.4
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	3700000.0	+20350.0	-20350.0	+958300.0	-947200.0	+55500.0	-55500.0
	37.5	30.0	45.0	562000.0	+6575.4	-6575.4	+128697.99999999999	-115210.0	+7306.0	-7306.0
	52.5	45.0	60.0	109000.0	+2190.8999999999996	-2190.8999999999996	+18966.0	-15369.0	+1199.0	-1199.0
	70.0	60.0	80.0	26700.0	+194.91	-194.91	+3631.2	-3577.8	+293.70000000000005	-293.70000000000005
	95.0	80.0	110.0	5840.0	+64.824	-64.824	+741.68	-700.8	+64.24000000000001	-64.24000000000001
	135.0	110.0	160.0	958.0	+6.8018	-6.8018	+108.254	-109.212	+10.538	-10.538
	185.0	160.0	210.0	151.0	+1.2231	-1.2231	+20.686999999999998	-18.12	+1.6610000000000003	-1.6610000000000003
	235.0	210.0	260.0	33.8	+0.22308	-0.22308	+4.6644	-4.630599999999999	+0.40559999999999996	-0.40559999999999996
	285.0	260.0	310.0	9.58	+0.122624	-0.122624	+1.50406	-1.4082599999999998	+0.10538	-0.10538
	355.0	310.0	400.0	2.35	+0.02491	-0.02491	+0.39244999999999997	-0.35955000000000004	+0.02585	-0.02585
	450.0	400.0	500.0	0.391	+0.0077418	-0.0077418	+0.069989	-0.069989	+0.004301000000000001	-0.004301000000000001
	550.0	500.0	600.0	0.0725	+0.0034219999999999997	-0.0034219999999999997	+0.01508	-0.015007499999999998	+8.699999999999999E-4	-8.699999999999999E-4
	700.0	600.0	800.0	0.00951	+8.340269999999999E-4	-8.340269999999999E-4	+0.00267231	-0.00225387	+1.1411999999999998E-4	-1.1411999999999998E-4
	900.0	800.0	1000.0	4.86E-4	+1.9051200000000002E-4	-1.9051200000000002E-4	+1.72044E-4	-1.54062E-4	+6.318E-6	-6.318E-6
	1100.0	1000.0	1200.0	6.93E-5	+7.137900000000001E-5	-7.137900000000001E-5	+3.298680000000001E-5	-2.9383200000000004E-5	+9.009000000000001E-7	-9.009000000000001E-7

