Path: /HepData/8579/d26-x1-y1
Dijet Mass distribution for the |y*| range  1.0-1.5 and R=0.6
Location: T 30,F 15
ABS(YRAP(P=3)-YRAP(P=4)) : 1.0 - 1.5
R : 0.6
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.185	0.16	0.21	7.9E7	+1185000.0	-1185000.0	+1.6906E7	-1.5879000000000002E7	+5451000.0	-4819000.0
	0.235	0.21	0.26	2.2E7	+217800.0	-217800.0	+3190000.0	-2948000.0	+880000.0	-1034000.0
	0.285	0.26	0.31	7500000.0	+72750.0	-72750.0	+900000.0	-945000.0	+270000.0	-322500.0
	0.34	0.31	0.37	2900000.0	+26680.0	-26680.0	+319000.0	-342200.0	+98600.0	-107300.0
	0.405	0.37	0.44	1100000.0	+8800.0	-8800.0	+114400.0	-114400.0	+34100.0	-35200.0
	0.475	0.44	0.51	430000.0	+4300.0	-4300.0	+47300.0	-48590.0	+13330.0	-12470.0
	0.55	0.51	0.59	180000.0	+1980.0000000000002	-1980.0000000000002	+23040.0	-20340.0	+5400.0	-5040.0
	0.63	0.59	0.67	79000.0	+869.0000000000001	-869.0000000000001	+9085.0	-9322.0	+2133.0	-2291.0
	0.715	0.67	0.76	37000.0	+407.00000000000006	-407.00000000000006	+4403.0	-4588.0	+999.0000000000001	-1073.0
	0.805	0.76	0.85	17000.0	+237.99999999999997	-237.99999999999997	+2193.0	-2108.0	+459.00000000000006	-459.00000000000006
	0.9	0.85	0.95	8400.0	+109.2	-109.2	+1134.0	-1218.0	+210.0	-235.2
	1.005	0.95	1.06	4100.0	+61.5	-61.5	+627.3000000000001	-541.1999999999999	+110.7	-110.7
	1.12	1.06	1.18	2000.0	+38.0	-38.0	+270.0	-266.0	+50.0	-52.0
	1.245	1.18	1.31	900.0	+23.400000000000002	-23.400000000000002	+133.20000000000002	-162.0	+22.5	-22.5
	1.38	1.31	1.45	460.0	+15.179999999999998	-15.179999999999998	+73.14	-79.11999999999999	+11.5	-11.04
	1.525	1.45	1.6	210.0	+7.7700000000000005	-7.7700000000000005	+42.42	-33.39	+5.460000000000001	-5.04
	1.68	1.6	1.76	93.0	+4.929	-4.929	+16.554000000000002	-14.88	+2.139	-2.232
	1.85	1.76	1.94	38.0	+3.5340000000000003	-3.5340000000000003	+7.22	-6.802	+0.8739999999999999	-0.8739999999999999
	2.03	1.94	2.12	21.0	+2.1	-2.1	+3.675	-3.486	+0.504	-0.504
	2.335	2.12	2.55	6.9	+0.9660000000000001	-0.9660000000000001	+1.6560000000000001	-1.4352000000000003	+0.1656	-0.1587
	3.08	2.55	3.61	0.58	+0.1914	-0.1914	+0.15311999999999998	-0.12411999999999998	+0.013339999999999998	-0.013339999999999998

