10 28 0.0000 
28 40 0.0000 
40 54 0.0000 
54 68 0.0000 
68 84 0.0000 
84 100 0.0000 
100 116 0.9597 
116 134 0.9614 
134 152 0.9632 
152 172 0.9649 
172 194 0.9666 
194 216 0.9682 
216 240 0.9698 
240 264 0.9713 
264 290 0.9727 
290 318 0.9740 
318 346 0.9753 
346 376 0.9764 
376 408 0.9775 
408 442 0.9785 
442 478 0.9795 
478 516 0.9803 
516 556 0.9811 
556 598 0.9817 
598 642 0.9823 
642 688 0.9828 
688 736 0.9833 
736 786 0.9837 
786 838 0.9840 
838 894 0.9843 
894 952 0.9845 
952 1012 0.9847 
1012 1076 0.9848 
1076 1162 0.9850 
1162 1310 0.9851 
1310 1530 0.9852 
1530 1992 0.9853 
