Path: /HepData/8579/d22-x1-y1
Dijet Mass distribution for the |y*| range  3.5-4.0 and R=0.4
Location: T 26,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 3.5 - 4.0
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	1.85	1.76	1.94	8900.0	+1157.0	-1157.0	+9131.4	-4494.5	+1014.6	-738.7
	2.03	1.94	2.12	3600.0	+504.0	-504.0	+2829.6	-1497.6000000000001	+273.59999999999997	-262.8
	2.225	2.12	2.33	1300.0	+115.7	-115.7	+789.1	-583.6999999999999	+68.89999999999999	-88.39999999999999
	2.44	2.33	2.55	610.0	+53.68	-53.68	+545.9499999999999	-283.03999999999996	+41.48	-50.63
	2.665	2.55	2.78	300.0	+25.200000000000003	-25.200000000000003	+231.29999999999998	-154.5	+28.200000000000003	-33.599999999999994
	2.91	2.78	3.04	100.0	+11.0	-11.0	+74.3	-48.1	+13.2	-9.5
	3.175	3.04	3.31	40.0	+6.0	-6.0	+27.680000000000003	-17.28	+4.04	-2.92
	3.62	3.31	3.93	9.3	+1.9530000000000003	-1.9530000000000003	+6.035700000000001	-4.147800000000001	+0.6510000000000001	-0.6417000000000002
	4.7	3.93	5.47	0.086	+0.05848	-0.05848	+0.068198	-0.045408	+0.006622	-0.005504

