Path: /HepData/8579/d10-x1-y1
Inclusive jet PT distribution for the |y| range  0.8-1.2 and R=0.6
Location: T 14,F 10
ABS(YRAP) : 0.8 - 1.2
R : 0.6
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	8540000.0	+46970.00000000001	-46970.00000000001	+1938580.0	-2015440.0000000002	+119559.99999999999	-119559.99999999999
	37.5	30.0	45.0	1120000.0	+12879.999999999998	-12879.999999999998	+237440.0	-226240.0	+14560.0	-14560.0
	52.5	45.0	60.0	199000.0	+4716.3	-4716.3	+31641.0	-27860.0	+2388.0	-2388.0
	70.0	60.0	80.0	48400.0	+440.44	-440.44	+5808.0	-5324.0	+532.4000000000001	-532.4000000000001
	95.0	80.0	110.0	10300.0	+62.83	-62.83	+1030.0	-1122.7	+123.6	-123.6
	135.0	110.0	160.0	1660.0	+9.13	-9.13	+182.60000000000002	-182.60000000000002	+19.92	-19.92
	185.0	160.0	210.0	260.0	+1.6640000000000001	-1.6640000000000001	+30.94	-27.82	+3.12	-3.12
	235.0	210.0	260.0	61.7	+0.59232	-0.59232	+7.527399999999999	-8.021	+0.6787000000000001	-0.6787000000000001
	285.0	260.0	310.0	19.5	+0.15795	-0.15795	+2.8275	-2.5545	+0.21450000000000002	-0.21450000000000002
	355.0	310.0	400.0	5.24	+0.05868800000000001	-0.05868800000000001	+0.79648	-0.6969200000000001	+0.057640000000000004	-0.057640000000000004
	450.0	400.0	500.0	1.1	+0.021560000000000003	-0.021560000000000003	+0.15510000000000002	-0.16280000000000003	+0.012100000000000001	-0.012100000000000001
	550.0	500.0	600.0	0.252	+0.0083916	-0.0083916	+0.039312	-0.039060000000000004	+0.002772	-0.002772
	700.0	600.0	800.0	0.0472	+0.00308216	-0.00308216	+0.008968	-0.0083544	+5.664E-4	-5.664E-4
	900.0	800.0	1000.0	0.00297	+6.534E-4	-6.534E-4	+7.3359E-4	-6.3261E-4	+3.8610000000000005E-5	-3.8610000000000005E-5
	1100.0	1000.0	1200.0	4.54E-4	+2.8375E-4	-2.8375E-4	+1.42102E-4	-1.35292E-4	+7.264E-6	-7.264E-6
	1350.0	1200.0	1500.0	1.01E-4	+1.1514000000000001E-4	-1.1514000000000001E-4	+4.4541000000000006E-5	-4.4238E-5	+2.02E-6	-2.02E-6

