Path: /HepData/8579/d21-x1-y1
Dijet Mass distribution for the |y*| range  3.0-3.5 and R=0.4
Location: T 25,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 3.0 - 3.5
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	1.245	1.18	1.31	56000.0	+3696.0	-3696.0	+34720.0	-21392.0	+3920.0	-4200.0
	1.38	1.31	1.45	26000.0	+1612.0	-1612.0	+12428.0	-9048.0	+1560.0	-1872.0
	1.525	1.45	1.6	14000.0	+1008.0	-1008.0	+6160.0	-4508.0	+840.0	-938.0
	1.68	1.6	1.76	7200.0	+525.6	-525.6	+3110.4	-2232.0	+468.0	-504.0
	1.85	1.76	1.94	3100.0	+155.0	-155.0	+1205.8999999999999	-982.6999999999999	+207.70000000000002	-210.79999999999998
	2.03	1.94	2.12	1500.0	+66.0	-66.0	+535.5	-436.5	+87.0	-87.0
	2.225	2.12	2.33	640.0	+33.92	-33.92	+204.8	-167.04000000000002	+35.839999999999996	-33.92
	2.44	2.33	2.55	270.0	+19.44	-19.44	+78.84	-71.82000000000001	+13.230000000000002	-14.040000000000001
	2.665	2.55	2.78	110.0	+10.89	-10.89	+41.690000000000005	-32.230000000000004	+5.390000000000001	-6.490000000000001
	2.91	2.78	3.04	43.0	+4.7299999999999995	-4.7299999999999995	+17.157	-13.803	+2.537	-2.408
	3.325	3.04	3.61	12.0	+2.04	-2.04	+5.1240000000000006	-4.272	+0.756	-0.6
	4.325	3.61	5.04	0.44	+0.2376	-0.2376	+0.24860000000000002	-0.20724	+0.02772	-0.022439999999999998

