Path: /HepData/8579/d27-x1-y1
Dijet Mass distribution for the |y*| range  1.5-2.0 and R=0.6
Location: T 31,F 15
ABS(YRAP(P=3)-YRAP(P=4)) : 1.5 - 2.0
R : 0.6
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.285	0.26	0.31	2.5E7	+575000.0	-575000.0	+6100000.0	-5500000.0	+1925000.0	-1800000.0
	0.34	0.31	0.37	9600000.0	+220799.99999999997	-220799.99999999997	+1776000.0	-1545600.0000000002	+518400.00000000006	-528000.0
	0.405	0.37	0.44	3600000.0	+50400.0	-50400.0	+572400.0	-525600.0	+194400.0	-187200.0
	0.475	0.44	0.51	1400000.0	+21000.0	-21000.0	+207200.0	-218400.0	+70000.0	-78400.0
	0.55	0.51	0.59	590000.0	+8850.0	-8850.0	+80830.0	-79650.0	+23600.0	-27139.999999999996
	0.63	0.59	0.67	260000.0	+4160.0	-4160.0	+32760.0	-31980.000000000004	+9620.0	-9620.0
	0.715	0.67	0.76	120000.0	+2040.0	-2040.0	+15960.0	-15960.0	+4560.0	-4680.0
	0.805	0.76	0.85	57000.0	+1197.0	-1197.0	+8094.0	-7923.0	+1938.0	-1824.0
	0.9	0.85	0.95	28000.0	+588.0	-588.0	+3416.0	-3556.0	+812.0	-868.0
	1.005	0.95	1.06	14000.0	+322.0	-322.0	+2002.0	-1988.0	+476.0	-532.0
	1.12	1.06	1.18	6300.0	+157.5	-157.5	+1052.1	-875.7	+233.10000000000002	-195.3
	1.245	1.18	1.31	3100.0	+80.60000000000001	-80.60000000000001	+452.59999999999997	-412.3	+77.5	-96.10000000000001
	1.38	1.31	1.45	1400.0	+44.800000000000004	-44.800000000000004	+250.59999999999997	-222.6	+47.6	-42.0
	1.525	1.45	1.6	670.0	+24.790000000000003	-24.790000000000003	+131.32000000000002	-107.87000000000002	+25.46	-18.759999999999998
	1.68	1.6	1.76	300.0	+13.5	-13.5	+48.0	-47.7	+7.800000000000001	-6.8999999999999995
	1.85	1.76	1.94	140.0	+7.0	-7.0	+30.799999999999997	-23.240000000000002	+3.6399999999999997	-5.319999999999999
	2.03	1.94	2.12	60.0	+4.74	-4.74	+13.38	-11.7	+1.92	-1.74
	2.225	2.12	2.33	28.0	+2.8000000000000003	-2.8000000000000003	+7.224000000000001	-6.524000000000001	+0.7280000000000001	-0.7000000000000001
	2.555	2.33	2.78	9.8	+1.078	-1.078	+1.9796	-1.7346	+0.2352	-0.2352
	3.355	2.78	3.93	0.62	+0.1798	-0.1798	+0.1984	-0.18724	+0.01674	-0.014879999999999999

