Path: /HepData/8579/d20-x1-y1
Dijet Mass distribution for the |y*| range  2.5-3.0 and R=0.4
Location: T 24,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 2.5 - 3.0
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.715	0.67	0.76	730000.0	+51830.0	-51830.0	+338720.0	-240900.0	+40880.0	-44530.0
	0.805	0.76	0.85	390000.0	+33150.0	-33150.0	+169260.0	-108420.0	+24570.0	-17940.0
	0.9	0.85	0.95	190000.0	+9310.0	-9310.0	+69350.0	-48450.0	+11020.0	-7980.0
	1.005	0.95	1.06	91000.0	+3003.0	-3003.0	+26663.0	-21567.0	+4004.0000000000005	-4277.0
	1.12	1.06	1.18	43000.0	+1462.0	-1462.0	+10621.0	-9675.0	+1762.9999999999998	-2021.0
	1.245	1.18	1.31	21000.0	+735.0	-735.0	+5124.0	-4809.0	+756.0	-903.0
	1.38	1.31	1.45	9900.0	+297.0	-297.0	+2524.5	-2059.2000000000003	+425.7	-366.3
	1.525	1.45	1.6	4900.0	+166.6	-166.6	+1131.9	-955.5	+200.89999999999998	-186.2
	1.68	1.6	1.76	2400.0	+100.80000000000001	-100.80000000000001	+547.2	-448.79999999999995	+84.0	-76.80000000000001
	1.85	1.76	1.94	1000.0	+55.0	-55.0	+235.0	-226.0	+34.0	-37.0
	2.03	1.94	2.12	470.0	+28.200000000000003	-28.200000000000003	+101.05	-101.52000000000001	+15.040000000000001	-14.100000000000001
	2.225	2.12	2.33	220.0	+19.8	-19.8	+50.38	-58.74	+7.26	-10.340000000000002
	2.44	2.33	2.55	96.0	+10.559999999999999	-10.559999999999999	+26.208	-22.368	+3.7439999999999998	-3.36
	2.665	2.55	2.78	46.0	+8.74	-8.74	+11.73	-11.96	+1.518	-1.334
	3.045	2.78	3.31	8.0	+1.28	-1.28	+2.3440000000000003	-2.088	+0.20800000000000002	-0.264
	3.975	3.31	4.64	0.55	+0.253	-0.253	+0.21285000000000004	-0.20680000000000004	+0.023100000000000002	-0.026950000000000005

