Path: /HepData/8579/d15-x1-y1
Dijet Mass distribution for the |y*| range  0.0-0.5 and R=0.4
Location: T 19,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 0.0 - 0.5
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.09	0.07	0.11	2.4E8	+3120000.0	-3120000.0	+3.984E7	-3.768E7	+6720000.0	-7200000.0
	0.135	0.11	0.16	3.4E7	+227800.0	-227800.0	+4080000.0	-3876000.0	+714000.0	-748000.0000000001
	0.185	0.16	0.21	7100000.0	+36920.0	-36920.0	+745500.0	-688700.0	+134900.0	-127800.0
	0.235	0.21	0.26	2000000.0	+17600.0	-17600.0	+204000.0	-208000.0	+34000.0	-34000.0
	0.285	0.26	0.31	720000.0	+4824.0	-4824.0	+81360.0	-72000.0	+11520.0	-11520.0
	0.34	0.31	0.37	280000.0	+1540.0000000000002	-1540.0000000000002	+31640.000000000004	-29680.0	+4480.0	-4480.0
	0.405	0.37	0.44	110000.0	+671.0	-671.0	+12210.0	-12100.0	+1650.0	-1760.0
	0.475	0.44	0.51	43000.0	+275.2	-275.2	+5246.0	-5074.0	+645.0	-688.0
	0.55	0.51	0.59	18000.0	+147.6	-147.6	+2340.0	-2015.9999999999998	+288.0	-270.0
	0.63	0.59	0.67	7900.0	+86.9	-86.9	+924.3	-979.6	+118.5	-118.5
	0.715	0.67	0.76	3700.0	+48.1	-48.1	+462.5	-455.1	+55.5	-55.5
	0.805	0.76	0.85	1800.0	+32.4	-32.4	+243.0	-225.0	+27.0	-27.0
	0.9	0.85	0.95	860.0	+18.92	-18.92	+118.68	-113.52	+12.04	-12.899999999999999
	1.005	0.95	1.06	420.0	+13.440000000000001	-13.440000000000001	+58.800000000000004	-56.28	+5.88	-5.88
	1.12	1.06	1.18	210.0	+9.240000000000002	-9.240000000000002	+32.34	-28.77	+3.1500000000000004	-3.1500000000000004
	1.245	1.18	1.31	96.0	+5.568	-5.568	+13.536	-13.536	+1.3439999999999999	-1.3439999999999999
	1.38	1.31	1.45	47.0	+3.6189999999999998	-3.6189999999999998	+7.707999999999999	-7.191	+0.6579999999999999	-0.6579999999999999
	1.525	1.45	1.6	21.0	+2.73	-2.73	+3.6119999999999997	-3.36	+0.294	-0.294
	1.77	1.6	1.94	7.2	+1.008	-1.008	+1.3896000000000002	-1.2600000000000002	+0.1008	-0.1008
	2.36	1.94	2.78	0.64	+0.224	-0.224	+0.13696	-0.13184	+0.00896	-0.00896

