Path: /HepData/8579/d3-x1-y1
Inclusive jet PT distribution for the |y| range  0.8-1.2 and R=0.4
Location: T 7,F 9
ABS(YRAP) : 0.8 - 1.2
R : 0.4
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	3920000.0	+26656.000000000004	-26656.000000000004	+944720.0	-972160.0	+58800.0	-58800.0
	37.5	30.0	45.0	666000.0	+10056.6	-10056.6	+134532.0	-117882.0	+7992.0	-7992.0
	52.5	45.0	60.0	139000.0	+3600.1	-3600.1	+20850.0	-17236.0	+1529.0000000000002	-1529.0000000000002
	70.0	60.0	80.0	33900.0	+335.61	-335.61	+3932.4	-3661.2000000000003	+372.90000000000003	-372.90000000000003
	95.0	80.0	110.0	7550.0	+53.605	-53.605	+838.05	-853.1500000000001	+90.6	-90.6
	135.0	110.0	160.0	1280.0	+6.4	-6.4	+143.35999999999999	-148.48	+15.36	-15.36
	185.0	160.0	210.0	205.0	+1.1889999999999998	-1.1889999999999998	+25.624999999999996	-22.549999999999997	+2.4599999999999995	-2.4599999999999995
	235.0	210.0	260.0	50.1	+0.501	-0.501	+6.7134	-6.362699999999999	+0.5511	-0.5511
	285.0	260.0	310.0	15.9	+0.15582	-0.15582	+2.1306000000000003	-2.0987999999999998	+0.17490000000000003	-0.17490000000000003
	355.0	310.0	400.0	4.38	+0.046428000000000004	-0.046428000000000004	+0.6394799999999999	-0.5518799999999999	+0.04818	-0.04818
	450.0	400.0	500.0	0.918	+0.0178092	-0.0178092	+0.134028	-0.13861800000000002	+0.010098000000000001	-0.010098000000000001
	550.0	500.0	600.0	0.214	+0.0078538	-0.0078538	+0.03424	-0.03424	+0.002354	-0.002354
	700.0	600.0	800.0	0.0407	+0.0027106200000000004	-0.0027106200000000004	+0.007733	-0.007448100000000001	+4.884E-4	-4.884E-4
	900.0	800.0	1000.0	0.0027	+6.021E-4	-6.021E-4	+6.804000000000001E-4	-6.075000000000001E-4	+3.7800000000000004E-5	-3.7800000000000004E-5
	1100.0	1000.0	1200.0	4.66E-4	+2.87522E-4	-2.87522E-4	+1.5844E-4	-1.34208E-4	+7.456000000000001E-6	-7.456000000000001E-6
	1350.0	1200.0	1500.0	1.02E-4	+1.0608E-4	-1.0608E-4	+4.6206E-5	-4.539E-5	+2.04E-6	-2.04E-6

