Path: /HepData/8579/d18-x1-y1
Dijet Mass distribution for the |y*| range  1.5-2.0 and R=0.4
Location: T 22,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 1.5 - 2.0
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.285	0.26	0.31	1.3E7	+338000.0	-338000.0	+3029000.0	-2691000.0	+559000.0	-507000.0
	0.34	0.31	0.37	5400000.0	+102600.0	-102600.0	+1117800.0	-853200.0	+210600.0	-183600.0
	0.405	0.37	0.44	2200000.0	+37400.0	-37400.0	+411400.0	-327800.0	+74800.0	-68200.0
	0.475	0.44	0.51	890000.0	+15130.0	-15130.0	+121930.0	-141510.0	+24030.0	-29370.0
	0.55	0.51	0.59	370000.0	+5920.0	-5920.0	+44400.0	-47730.0	+9620.0	-12580.0
	0.63	0.59	0.67	170000.0	+3230.0	-3230.0	+25330.0	-24480.0	+5610.0	-5610.0
	0.715	0.67	0.76	81000.0	+1539.0	-1539.0	+11826.0	-10935.0	+2106.0	-2187.0
	0.805	0.76	0.85	40000.0	+840.0	-840.0	+7040.000000000001	-5160.0	+1400.0	-1000.0
	0.9	0.85	0.95	19000.0	+475.0	-475.0	+3040.0	-2755.0	+532.0	-513.0
	1.005	0.95	1.06	9500.0	+209.00000000000003	-209.00000000000003	+1320.5	-1178.0	+218.49999999999997	-228.0
	1.12	1.06	1.18	4600.0	+128.79999999999998	-128.79999999999998	+611.8000000000001	-786.6	+115.0	-128.79999999999998
	1.245	1.18	1.31	2200.0	+63.8	-63.8	+360.79999999999995	-426.79999999999995	+57.2	-59.400000000000006
	1.38	1.31	1.45	1000.0	+33.0	-33.0	+181.0	-159.0	+24.0	-23.0
	1.525	1.45	1.6	490.0	+19.6	-19.6	+79.38	-68.60000000000001	+11.27	-10.780000000000001
	1.68	1.6	1.76	230.0	+10.35	-10.35	+40.48	-27.599999999999998	+5.75	-5.75
	1.85	1.76	1.94	98.0	+6.37	-6.37	+17.248	-19.6	+2.352	-2.156
	2.03	1.94	2.12	43.0	+4.085	-4.085	+6.665	-9.331	+0.9460000000000001	-1.462
	2.225	2.12	2.33	23.0	+2.7600000000000002	-2.7600000000000002	+5.221	-5.313000000000001	+0.5060000000000001	-0.529
	2.555	2.33	2.78	5.9	+0.8260000000000001	-0.8260000000000001	+1.239	-1.1387	+0.14750000000000002	-0.1357
	3.355	2.78	3.93	0.54	+0.1836	-0.1836	+0.2079	-0.14634000000000003	+0.013500000000000002	-0.013500000000000002

