Path: /HepData/8579/d16-x1-y1
Dijet Mass distribution for the |y*| range  0.5-1.0 and R=0.4
Location: T 20,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 0.5 - 1.0
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.135	0.11	0.16	7.9E7	+948000.0	-948000.0	+1.3272E7	-1.1771E7	+2370000.0	-2133000.0
	0.185	0.16	0.21	1.6E7	+123200.0	-123200.0	+1760000.0	-1952000.0	+272000.0	-432000.0
	0.235	0.21	0.26	4700000.0	+29140.0	-29140.0	+493500.0	-502899.99999999994	+84600.0	-94000.0
	0.285	0.26	0.31	1700000.0	+11220.0	-11220.0	+188700.0	-187000.0	+32300.0	-28900.0
	0.34	0.31	0.37	650000.0	+4095.0	-4095.0	+70850.0	-67600.0	+11050.0	-11050.0
	0.405	0.37	0.44	250000.0	+1925.0	-1925.0	+27000.0	-29500.0	+4000.0	-4750.0
	0.475	0.44	0.51	100000.0	+680.0	-680.0	+11100.0	-10700.0	+1600.0	-1600.0
	0.55	0.51	0.59	44000.0	+360.79999999999995	-360.79999999999995	+5764.0	-4752.0	+704.0	-704.0
	0.63	0.59	0.67	19000.0	+178.6	-178.6	+2356.0	-2394.0	+304.0	-304.0
	0.715	0.67	0.76	9000.0	+90.0	-90.0	+1062.0	-1197.0	+135.0	-144.0
	0.805	0.76	0.85	4300.0	+55.9	-55.9	+670.8	-507.40000000000003	+68.8	-64.5
	0.9	0.85	0.95	2100.0	+33.6	-33.6	+281.40000000000003	-283.5	+31.5	-31.5
	1.005	0.95	1.06	980.0	+20.580000000000002	-20.580000000000002	+137.20000000000002	-130.34	+14.700000000000001	-14.700000000000001
	1.12	1.06	1.18	490.0	+13.230000000000002	-13.230000000000002	+68.60000000000001	-63.7	+7.3500000000000005	-7.3500000000000005
	1.245	1.18	1.31	230.0	+8.969999999999999	-8.969999999999999	+37.71999999999999	-33.809999999999995	+3.4499999999999997	-3.2199999999999998
	1.38	1.31	1.45	110.0	+5.720000000000001	-5.720000000000001	+16.28	-16.5	+1.6500000000000001	-1.54
	1.525	1.45	1.6	52.0	+3.536	-3.536	+7.592	-8.164	+0.728	-0.78
	1.68	1.6	1.76	20.0	+2.2	-2.2	+3.58	-3.38	+0.27999999999999997	-0.27999999999999997
	1.94	1.76	2.12	7.6	+0.988	-0.988	+1.4516	-1.3603999999999998	+0.1064	-0.1064
	2.715	2.12	3.31	0.98	+0.2352	-0.2352	+0.23226	-0.20678000000000002	+0.013719999999999998	-0.013719999999999998

