Path: /HepData/8579/d28-x1-y1
Dijet Mass distribution for the |y*| range  2.0-2.5 and R=0.6
Location: T 32,F 15
ABS(YRAP(P=3)-YRAP(P=4)) : 2.0 - 2.5
R : 0.6
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.405	0.37	0.44	1.3E7	+416000.0	-416000.0	+5174000.0	-3874000.0	+2119000.0	-1105000.0
	0.475	0.44	0.51	4800000.0	+153600.0	-153600.0	+1516800.0	-1238400.0	+446400.00000000006	-417599.99999999994
	0.55	0.51	0.59	2000000.0	+60000.0	-60000.0	+466000.0	-424000.0	+128000.0	-152000.0
	0.63	0.59	0.67	890000.0	+16910.0	-16910.0	+179780.0	-170880.0	+55180.0	-61410.0
	0.715	0.67	0.76	390000.0	+7410.0	-7410.0	+74880.0	-66690.0	+25350.0	-23790.0
	0.805	0.76	0.85	190000.0	+2850.0	-2850.0	+32300.0	-30020.0	+10640.0	-10070.0
	0.9	0.85	0.95	94000.0	+1316.0	-1316.0	+15980.0	-14946.0	+5170.0	-4982.0
	1.005	0.95	1.06	43000.0	+688.0	-688.0	+6837.0	-6364.0	+2107.0	-2107.0
	1.12	1.06	1.18	20000.0	+380.0	-380.0	+3279.9999999999995	-3379.9999999999995	+880.0000000000001	-960.0
	1.245	1.18	1.31	9900.0	+247.5	-247.5	+1772.1	-1593.9	+405.9	-396.0
	1.38	1.31	1.45	4700.0	+126.9	-126.9	+766.1	-747.3000000000001	+183.29999999999998	-183.29999999999998
	1.525	1.45	1.6	2200.0	+77.0	-77.0	+371.79999999999995	-378.4	+77.0	-88.0
	1.68	1.6	1.76	1000.0	+39.0	-39.0	+183.0	-163.0	+40.0	-40.0
	1.85	1.76	1.94	460.0	+18.859999999999996	-18.859999999999996	+81.88	-80.96	+15.179999999999998	-15.179999999999998
	2.03	1.94	2.12	210.0	+9.870000000000001	-9.870000000000001	+43.260000000000005	-35.07	+8.61	-6.720000000000001
	2.225	2.12	2.33	100.0	+7.0	-7.0	+19.8	-21.6	+3.3	-3.6
	2.44	2.33	2.55	41.0	+4.059	-4.059	+8.651	-8.158999999999999	+1.148	-1.517
	2.795	2.55	3.04	11.0	+1.1	-1.1	+3.6079999999999997	-2.6510000000000002	+0.40700000000000003	-0.385
	3.655	3.04	4.27	0.51	+0.17850000000000002	-0.17850000000000002	+0.16524	-0.15096	+0.01581	-0.01683

