Path: /HepData/8579/d13-x1-y1
Inclusive jet PT distribution for the |y| range  2.8-3.6 and R=0.6
Location: T 17,F 10
ABS(YRAP) : 2.8 - 3.6
R : 0.6
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	3900000.0	+23790.0	-23790.0	+1840800.0	-1571700.0	+175500.0	-175500.0
	37.5	30.0	45.0	426000.0	+6049.2	-6049.2	+187866.0	-145266.0	+13632.0	-13632.0
	52.5	45.0	60.0	64200.0	+2054.4	-2054.4	+18361.2	-16306.8	+1348.2	-1348.2
	70.0	60.0	80.0	12400.0	+168.64000000000001	-168.64000000000001	+2715.6	-2219.6	+446.40000000000003	-446.40000000000003
	95.0	80.0	110.0	1780.0	+41.830000000000005	-41.830000000000005	+318.62	-320.40000000000003	+74.76	-74.76
	135.0	110.0	160.0	151.0	+2.0536000000000003	-2.0536000000000003	+33.824	-33.522	+4.228	-4.228
	185.0	160.0	210.0	7.23	+0.22846800000000003	-0.22846800000000003	+2.44374	-1.9014900000000001	+0.20244	-0.20244
	235.0	210.0	260.0	0.375	+0.0258	-0.0258	+0.157125	-0.13012500000000002	+0.013125	-0.013125
	285.0	260.0	310.0	0.0109	+0.0039021999999999993	-0.0039021999999999993	+0.0073466	-0.005428199999999999	+4.033E-4	-4.033E-4

