10 28 0.0000 
28 40 0.0000 
40 54 0.0000 
54 68 0.0000 
68 84 0.0000 
84 100 0.0000 
100 116 0.9611 
116 134 0.9630 
134 152 0.9648 
152 172 0.9666 
172 194 0.9684 
194 216 0.9700 
216 240 0.9716 
240 264 0.9731 
264 290 0.9745 
290 318 0.9758 
318 346 0.9770 
346 376 0.9781 
376 408 0.9791 
408 442 0.9800 
442 478 0.9809 
478 516 0.9816 
516 556 0.9823 
556 598 0.9828 
598 642 0.9833 
642 688 0.9837 
688 736 0.9841 
736 786 0.9844 
786 838 0.9846 
838 894 0.9848 
894 1012 0.9850 
1012 1992 0.9853 
