Path: /HepData/8579/d24-x1-y1
Dijet Mass distribution for the |y*| range  0.0-0.5 and R=0.6
Location: T 28,F 15
ABS(YRAP(P=3)-YRAP(P=4)) : 0.0 - 0.5
R : 0.6
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.09	0.07	0.11	4.6E8	+4462000.0	-4462000.0	+9.384E7	-8.326E7	+2.622E7	-2.346E7
	0.135	0.11	0.16	5.6E7	+330400.0	-330400.0	+6944000.0	-6440000.0	+1736000.0	-1792000.0
	0.185	0.16	0.21	1.1E7	+48400.0	-48400.0	+1166000.0	-1100000.0	+264000.0	-286000.0
	0.235	0.21	0.26	2900000.0	+17400.0	-17400.0	+292900.0	-284200.0	+60900.0	-63800.00000000001
	0.285	0.26	0.31	1000000.0	+6500.0	-6500.0	+104000.0	-96000.0	+19000.0	-18000.0
	0.34	0.31	0.37	380000.0	+2052.0	-2052.0	+39900.0	-39140.0	+7220.0	-7220.0
	0.405	0.37	0.44	140000.0	+700.0	-700.0	+15679.999999999998	-14000.0	+2660.0	-2380.0
	0.475	0.44	0.51	58000.0	+342.2	-342.2	+7076.0	-6438.0	+986.0	-1044.0
	0.55	0.51	0.59	24000.0	+160.8	-160.8	+2952.0	-3024.0	+408.0	-408.0
	0.63	0.59	0.67	11000.0	+110.0	-110.0	+1320.0	-1298.0	+165.0	-176.0
	0.715	0.67	0.76	4800.0	+62.400000000000006	-62.400000000000006	+652.8	-624.0	+76.80000000000001	-72.0
	0.805	0.76	0.85	2300.0	+39.1	-39.1	+303.59999999999997	-310.5	+34.5	-36.800000000000004
	0.9	0.85	0.95	1100.0	+23.1	-23.1	+151.8	-143.0	+16.5	-16.5
	1.005	0.95	1.06	550.0	+14.850000000000001	-14.850000000000001	+80.85	-75.35	+8.25	-8.25
	1.12	1.06	1.18	260.0	+9.360000000000001	-9.360000000000001	+38.74	-37.96	+3.9000000000000004	-3.9000000000000004
	1.245	1.18	1.31	130.0	+6.5	-6.5	+19.63	-19.63	+1.9500000000000002	-1.9500000000000002
	1.38	1.31	1.45	54.0	+3.7800000000000002	-3.7800000000000002	+8.262	-8.424	+0.756	-0.81
	1.525	1.45	1.6	22.0	+2.156	-2.156	+3.74	-3.476	+0.308	-0.308
	1.77	1.6	1.94	9.2	+1.012	-1.012	+1.7664	-1.6743999999999999	+0.138	-0.138
	2.36	1.94	2.78	0.92	+0.2668	-0.2668	+0.207	-0.1794	+0.012879999999999999	-0.012879999999999999

