Path: /HepData/8579/d6-x1-y1
Inclusive jet PT distribution for the |y| range  2.8-3.6 and R=0.4
Location: T 10,F 9
ABS(YRAP) : 2.8 - 3.6
R : 0.4
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	1890000.0	+14742.0	-14742.0	+888300.0	-750330.0	+75600.0	-75600.0
	37.5	30.0	45.0	267000.0	+4458.9	-4458.9	+122285.99999999999	-91580.99999999999	+7743.0	-7743.0
	52.5	45.0	60.0	42500.0	+1568.25	-1568.25	+13770.0	-10497.5	+850.0	-850.0
	70.0	60.0	80.0	8570.0	+144.833	-144.833	+1979.6700000000003	-1619.73	+299.95	-299.95
	95.0	80.0	110.0	1310.0	+44.671	-44.671	+263.31	-279.03000000000003	+56.33	-56.33
	135.0	110.0	160.0	116.0	+1.7864	-1.7864	+24.36	-25.983999999999998	+3.016	-3.016
	185.0	160.0	210.0	5.57	+0.21834399999999998	-0.21834399999999998	+2.0274799999999997	-1.6431499999999999	+0.15596	-0.15596
	235.0	210.0	260.0	0.289	+0.023640199999999997	-0.023640199999999997	+0.12282499999999999	-0.12109099999999999	+0.008959	-0.008959
	285.0	260.0	310.0	0.00917	+0.0036038099999999994	-0.0036038099999999994	+0.009151659999999999	-0.006290619999999999	+6.235599999999999E-4	-6.235599999999999E-4

