Path: /HepData/8579/d5-x1-y1
Inclusive jet PT distribution for the |y| range  2.1-2.8 and R=0.4
Location: T 9,F 9
ABS(YRAP) : 2.1 - 2.8
R : 0.4
RE : P P --> JET X
x : PT IN GEV
y : D2(SIG)/DPT/DYRAP IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	25.0	20.0	30.0	2760000.0	+19044.0	-19044.0	+982560.0	-908040.0	+44160.0	-44160.0
	37.5	30.0	45.0	407000.0	+5575.900000000001	-5575.900000000001	+133496.0	-104599.0	+5291.0	-5291.0
	52.5	45.0	60.0	80000.0	+2272.0	-2272.0	+16720.0	-13840.0	+880.0000000000001	-880.0000000000001
	70.0	60.0	80.0	17100.0	+179.55	-179.55	+2599.2	-2582.1	+205.2	-205.2
	95.0	80.0	110.0	3440.0	+20.639999999999997	-20.639999999999997	+423.12	-454.08	+44.72	-44.72
	135.0	110.0	160.0	498.0	+3.0378000000000003	-3.0378000000000003	+68.226	-66.23400000000001	+5.976	-5.976
	185.0	160.0	210.0	59.3	+0.52777	-0.52777	+10.2589	-8.5392	+0.7709	-0.7709
	235.0	210.0	260.0	10.0	+0.131	-0.131	+1.97	-1.9100000000000001	+0.12	-0.12
	285.0	260.0	310.0	1.85	+0.03774	-0.03774	+0.42365	-0.34780000000000005	+0.0222	-0.0222
	355.0	310.0	400.0	0.276	+0.0084732	-0.0084732	+0.08224800000000002	-0.06872400000000001	+0.0038640000000000002	-0.0038640000000000002
	450.0	400.0	500.0	0.0166	+0.0019089999999999999	-0.0019089999999999999	+0.006457399999999999	-0.0054448	+2.49E-4	-2.49E-4
	550.0	500.0	600.0	3.13E-4	+2.86082E-4	-2.86082E-4	+7.856300000000001E-5	-1.14245E-4	+3.13E-6	-3.13E-6

