10 28 0.0000 
28 40 0.0000 
40 54 0.0000 
54 68 0.0000 
68 84 0.0000 
84 100 0.0000 
100 116 0.9693 
116 134 0.9702 
134 152 0.9711 
152 172 0.9720 
172 194 0.9729 
194 216 0.9738 
216 240 0.9746 
240 264 0.9755 
264 290 0.9763 
290 318 0.9772 
318 346 0.9780 
346 376 0.9787 
376 408 0.9795 
408 442 0.9802 
442 478 0.9809 
478 516 0.9815 
516 556 0.9821 
556 598 0.9827 
598 642 0.9832 
642 688 0.9837 
688 736 0.9842 
736 786 0.9846 
786 838 0.9850 
838 894 0.9853 
894 1012 0.9857 
1012 1992 0.9864 
