10 28 0.0000 
28 40 0.0000 
40 54 0.0000 
54 68 0.0000 
68 84 0.0000 
84 100 0.0000 
100 116 0.9680 
116 134 0.9688 
134 152 0.9697 
152 172 0.9705 
172 194 0.9714 
194 216 0.9723 
216 240 0.9731 
240 264 0.9740 
264 290 0.9748 
290 318 0.9756 
318 346 0.9764 
346 376 0.9772 
376 408 0.9779 
408 442 0.9786 
442 478 0.9793 
478 516 0.9800 
516 556 0.9806 
556 598 0.9812 
598 642 0.9818 
642 688 0.9823 
688 736 0.9828 
736 786 0.9832 
786 838 0.9836 
838 894 0.9840 
894 952 0.9843 
952 1012 0.9846 
1012 1076 0.9848 
1076 1162 0.9851 
1162 1310 0.9854 
1310 1530 0.9857 
1530 1992 0.9860 
