Path: /HepData/8579/d19-x1-y1
Dijet Mass distribution for the |y*| range  2.0-2.5 and R=0.4
Location: T 23,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 2.0 - 2.5
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.405	0.37	0.44	5800000.0	+226200.0	-226200.0	+2018399.9999999998	-1612400.0	+348000.0	-255200.00000000003
	0.475	0.44	0.51	2600000.0	+96200.0	-96200.0	+871000.0	-665600.0	+140400.0	-117000.0
	0.55	0.51	0.59	1100000.0	+29700.000000000004	-29700.000000000004	+287100.0	-228800.0	+41800.0	-44000.0
	0.63	0.59	0.67	520000.0	+11440.000000000002	-11440.000000000002	+113879.99999999999	-92560.0	+17680.0	-17160.0
	0.715	0.67	0.76	240000.0	+5040.0	-5040.0	+48240.0	-44400.0	+7680.0	-8160.0
	0.805	0.76	0.85	120000.0	+2280.0	-2280.0	+22320.0	-20520.0	+3360.0	-3840.0
	0.9	0.85	0.95	58000.0	+1102.0	-1102.0	+10730.0	-9338.0	+1682.0	-1450.0
	1.005	0.95	1.06	28000.0	+616.0	-616.0	+4340.0	-4368.0	+672.0	-644.0
	1.12	1.06	1.18	14000.0	+294.0	-294.0	+2828.0	-2478.0	+448.0	-392.0
	1.245	1.18	1.31	6700.0	+174.20000000000002	-174.20000000000002	+1212.7	-1125.6000000000001	+174.20000000000002	-174.20000000000002
	1.38	1.31	1.45	3200.0	+99.2	-99.2	+476.8	-563.2	+60.8	-73.6
	1.525	1.45	1.6	1500.0	+58.5	-58.5	+291.0	-245.99999999999997	+36.0	-31.5
	1.68	1.6	1.76	730.0	+28.47	-28.47	+156.95	-121.91	+19.71	-17.52
	1.85	1.76	1.94	310.0	+13.950000000000001	-13.950000000000001	+50.53	-70.68	+4.960000000000001	-8.370000000000001
	2.03	1.94	2.12	150.0	+8.850000000000001	-8.850000000000001	+26.25	-31.049999999999997	+2.8499999999999996	-3.5999999999999996
	2.225	2.12	2.33	73.0	+5.6209999999999996	-5.6209999999999996	+19.929	-13.651	+2.701	-1.387
	2.44	2.33	2.55	26.0	+2.522	-2.522	+6.24	-5.303999999999999	+0.5720000000000001	-0.624
	2.795	2.55	3.04	8.0	+0.96	-0.96	+2.256	-1.96	+0.17600000000000002	-0.168
	3.655	3.04	4.27	0.23	+0.1173	-0.1173	+0.07636000000000001	-0.06716	+0.00437	-0.0046

