Path: /HepData/8579/d17-x1-y1
Dijet Mass distribution for the |y*| range  1.0-1.5 and R=0.4
Location: T 21,F 14
ABS(YRAP(P=3)-YRAP(P=4)) : 1.0 - 1.5
R : 0.4
RE : P PT --> JET JET X
x : M(P=3_4) IN TEV
y : 2*D2(SIG)/D(P=3_4)/DABS(YRAP(P=3)-YRAP(P=4)) IN PB/TEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
	0.185	0.16	0.21	4.3E7	+645000.0	-645000.0	+8256000.0	-7481999.999999999	+1634000.0	-1548000.0
	0.235	0.21	0.26	1.3E7	+143000.0	-143000.0	+1703000.0	-1716000.0	+351000.0	-403000.0
	0.285	0.26	0.31	4800000.0	+48000.0	-48000.0	+624000.0	-561600.0	+124800.0	-129600.00000000001
	0.34	0.31	0.37	1900000.0	+18050.0	-18050.0	+224200.0	-205200.0	+53200.0	-49400.0
	0.405	0.37	0.44	730000.0	+6497.0	-6497.0	+80300.0	-75920.0	+18250.0	-18980.0
	0.475	0.44	0.51	300000.0	+3300.0000000000005	-3300.0000000000005	+36900.0	-36600.0	+7500.0	-7800.0
	0.55	0.51	0.59	130000.0	+1690.0	-1690.0	+16380.0	-16640.0	+3250.0	-3120.0
	0.63	0.59	0.67	57000.0	+798.0	-798.0	+7296.0	-6897.0	+1368.0	-1368.0
	0.715	0.67	0.76	26000.0	+286.0	-286.0	+3302.0	-2938.0	+624.0	-624.0
	0.805	0.76	0.85	13000.0	+182.0	-182.0	+1703.0	-1716.0	+312.0	-312.0
	0.9	0.85	0.95	6100.0	+91.5	-91.5	+945.5	-872.3000000000001	+146.4	-146.4
	1.005	0.95	1.06	3100.0	+49.6	-49.6	+452.59999999999997	-443.3	+74.39999999999999	-74.39999999999999
	1.12	1.06	1.18	1400.0	+29.400000000000002	-29.400000000000002	+203.0	-212.79999999999998	+32.199999999999996	-33.6
	1.245	1.18	1.31	720.0	+19.44	-19.44	+97.92	-101.52	+16.56	-17.28
	1.38	1.31	1.45	350.0	+10.15	-10.15	+72.8	-50.050000000000004	+8.75	-8.049999999999999
	1.525	1.45	1.6	150.0	+6.75	-6.75	+24.0	-23.4	+3.4499999999999997	-3.4499999999999997
	1.68	1.6	1.76	73.0	+4.38	-4.38	+12.701999999999998	-12.118	+1.6789999999999998	-1.6789999999999998
	1.85	1.76	1.94	29.0	+2.465	-2.465	+5.364999999999999	-5.335999999999999	+0.6669999999999999	-0.6669999999999999
	2.03	1.94	2.12	17.0	+1.87	-1.87	+3.3660000000000005	-3.434	+0.391	-0.391
	2.335	2.12	2.55	5.2	+0.8320000000000001	-0.8320000000000001	+1.1336000000000002	-1.0608	+0.11440000000000002	-0.1196
	3.08	2.55	3.61	0.43	+0.1677	-0.1677	+0.11696	-0.10492	+0.00989	-0.00989

