; xmean  xmin  xmax  sigma stat 
22.5 21.0 24.0 20.3e6 0.17e6 10.1e6
26.0 24.0 28.0 11.1e6 0.13e6 4.57e6
30.0 28.0 32.0 4.64e6 0.07e6 1.51e6
34.5 32.0 37.0 2.25e6 0.06e6 0.63e6
40.0 37.0 43.0 1.12e6 0.04e6 0.26e6
46.0 43.0 49.0 0.55e6 0.02e6 0.10e6
52.5 49.0 56.0 3.21e5 0.19e5 0.50e5
60.0 56.0 64.0 1.65e5 0.12e5 0.21e5
69.0 64.0 74.0 0.83e5 0.06e5 0.09e5
