; xmean  xmin  xmax  sigma stat 
22.5 21.0 24.0 17.9e6 0.16e6 8.445e6
26.0 24.0 28.0 9.69e6 0.11e6 4.00e6
30.0 28.0 32.0 3.68e6 0.07e6 1.305e6
34.5 32.0 37.0 1.80e6 0.05e6 0.54e6
40.0 37.0 43.0 0.88e6 0.03e6 0.22e6
46.0 43.0 49.0 4.20e5 0.02e5 0.83e5
52.5 49.0 56.0 2.33e5 0.16e5 0.355e5
60.0 56.0 64.0 1.17e5 0.09e5 0.13e5
69.0 64.0 74.0 0.61e5 0.05e5 0.05e5
