; xmean  xmin  xmax  sigma stat 
22.5 21.0 24.0 9.37e6 0.11e6 5.46e6
26.0 24.0 28.0 5.20e6 0.08e6 2.52e6
30.0 28.0 32.0 1.98e6 0.05e6 0.83e6
34.5 32.0 37.0 0.92e6 0.04e6 0.35e6
40.0 37.0 43.0 4.50e5 0.26e5 1.60e5
46.0 43.0 49.0 2.14e5 0.15e5 0.69e5
52.5 49.0 56.0 1.18e5 0.12e5 0.345e5
60.0 56.0 64.0 6.36e4 0.78e4 1.79e4
69.0 64.0 74.0 3.01e4 0.38e4 0.79e4 
